g,d.parameters.campaign,d.parameters.locationSurrounding,d.parameters.team,d.parameters.motive,d.parameters.targetGroup,d.coordinates._latitude,d.coordinates._longitude,d.deletedAt._seconds,d.deletedAt._nanoseconds,d.createdBy,d.uuid,d.createdAt._seconds,d.createdAt._nanoseconds,d.location._latitude,d.location._longitude,d.removedBy,d.updatedAt._seconds,d.updatedAt._nanoseconds,d.updatedBy,d.state,l._latitude,l._longitude,d.deletedBy,campaign
u1x04kumk6,Bürgerschaftswahl Hamburg,,,Hafen + Wohnen,,53.46450528742436,9.948652368038893,1582982370.0,879000000.0,nLp6yL09kLYy4XDxIb4kMjer8RX2,26d43fc8-f892-43b0-a380-1f0a15daaad5,1579909404,708000000,53.46450528742436,9.948652368038893,nLp6yL09kLYy4XDxIb4kMjer8RX2,1579909404,709000000,nLp6yL09kLYy4XDxIb4kMjer8RX2,removed,53.46450528742436,9.948652368038893,,Bürgerschaftswahl Hamburg
u1x0gyz2ks,Bürgerschaftswahl Hamburg,,,Hafen + Philipp,,53.60648329693555,10.01869959756732,1583163626.0,273000000.0,ldaWw8gOw5OcDZqmK1RFIveUzgg1,26d602c1-d4d9-4239-882c-d845caf54be9,1580041315,152000000,53.60648329693555,10.01869959756732,BdsnyalNOJcI7JvHIsEAOTnsRct1,1580041315,152000000,ldaWw8gOw5OcDZqmK1RFIveUzgg1,removed,53.60648329693555,10.01869959756732,,Bürgerschaftswahl Hamburg
u281yrpymk,,,,Wohnen + E-Behörden,"['Radfahrer', 'Fußgänger', 'Autofahrer']",48.15966386126523,11.53553070500493,1584456541.0,379000000.0,OZZUbaCHqTSvXyqQam2w1OkZZT53,26ea36f5-abf6-4304-a521-73fe65f733a8,1578148108,486000000,48.15966386126523,11.53553070500493,BLZdgRcL5rXY5g1iCRXgKhYH5cK2,1578148108,560000000,OZZUbaCHqTSvXyqQam2w1OkZZT53,removed,48.15966386126523,11.53553070500493,,nan
u1x0tn31rw,Bürgerschaftswahl Hamburg,"['Straße', 'Wohnen']",,Verkehr + Wohnen,"['Autofahrer', 'Fußgänger']",53.55997447966534,10.065181944519281,1582986083.0,98000000.0,wg8ZnNFzQMUNv2sgygA41LqmHh63,26ec2eb1-ea64-4cb7-920d-cd48f2298d05,1580060725,66000000,53.55997447966534,10.065181944519281,FvMZqZ9ggTTgblDN9ueBSC99Lw23,1580060725,66000000,wg8ZnNFzQMUNv2sgygA41LqmHh63,removed,53.55997447966534,10.065181944519281,,Bürgerschaftswahl Hamburg
u283b2j8tb,Kommunalwahl München 2020,"['Straße', 'U-Bahn']",,Mobilität + Umwelt,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.1202060795397,11.620352882891893,1584446516.0,530000000.0,BLZdgRcL5rXY5g1iCRXgKhYH5cK2,26f7b1ff-ccee-483f-9dde-83ab340196bf,1581158953,607000000,48.1202060795397,11.620352882891893,OZZUbaCHqTSvXyqQam2w1OkZZT53,1581158953,608000000,BLZdgRcL5rXY5g1iCRXgKhYH5cK2,removed,48.1202060795397,11.620352882891893,,Kommunalwahl München 2020
u1x0ucb153,Bürgerschaftswahl Hamburg,"['Straße', 'Wohnen', 'Einkaufen', 'Bus', 'Klinik']",,Wohnen + Wohnen + Wohnen,"['Fußgänger', 'Autofahrer', 'Radfahrer']",53.57912959067437,10.052637252956629,1583013591.0,222000000.0,wg8ZnNFzQMUNv2sgygA41LqmHh63,2700381f-faa7-40e5-b3be-b2d86a80c743,1579974217,406000000,53.57912959067437,10.052637252956629,BdsnyalNOJcI7JvHIsEAOTnsRct1,1579974363,247000000,wg8ZnNFzQMUNv2sgygA41LqmHh63,removed,53.57912959067437,10.052637252956629,,Bürgerschaftswahl Hamburg
u1x0smxckg,Bürgerschaftswahl Hamburg,"['Straße', 'U-Bahn', 'Bildung', 'Behörde', 'Bundesstrasse', 'Schule', 'Park']",,Patrick/Mira + Patrick/Mira,"['Fußgänger', 'Autofahrer', 'Radfahrer']",53.55583700185004,10.041366275399923,1582981473.0,889000000.0,FvMZqZ9ggTTgblDN9ueBSC99Lw23,2705f24a-6b1d-40aa-80d5-20db3b063f89,1579967413,704000000,53.55583700185004,10.041366275399923,FvMZqZ9ggTTgblDN9ueBSC99Lw23,1579967428,172000000,FvMZqZ9ggTTgblDN9ueBSC99Lw23,removed,53.55583700185004,10.041366275399923,,Bürgerschaftswahl Hamburg
u281yrpwgr,,,,Mobilität + Umwelt,"['Radfahrer', 'Fußgänger', 'Autofahrer']",48.159769421172385,11.535107586532831,1584456547.0,865000000.0,OZZUbaCHqTSvXyqQam2w1OkZZT53,2709570c-97c1-4f12-8e07-3192c005dff2,1578147517,893000000,48.159769421172385,11.535107586532831,BLZdgRcL5rXY5g1iCRXgKhYH5cK2,1578147517,955000000,OZZUbaCHqTSvXyqQam2w1OkZZT53,removed,48.159769421172385,11.535107586532831,,nan
u281wfw6cs,,"['Straße', 'Wohnen']",,Mobilität + Umwelt,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.09039955680485,11.555280815809965,1580830275.0,791000000.0,MXnc2ii9M8MA1GjBtapzdaBwUff2,270d858c-e0f8-4b07-9e3b-90683de19ae2,1578681624,444000000,48.09039955680485,11.555280815809965,HgM385Ff84YmItF4qjVY8OGvuih2,1578681624,445000000,MXnc2ii9M8MA1GjBtapzdaBwUff2,removed,48.09039955680485,11.555280815809965,,nan
u281x4gdg8,,"['Straßenbahn', 'Strasse', 'Wohnen']",,Wohnen + E-Behörden,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.091751320926505,11.562579777091742,,,MXnc2ii9M8MA1GjBtapzdaBwUff2,2729df53-1e5a-422a-ac05-af1c6eece8e2,1578682480,720000000,,,,1578682480,720000000,MXnc2ii9M8MA1GjBtapzdaBwUff2,active,48.091751320926505,11.562579777091742,,nan
u1x055cdq8,Bürgerschaftswahl Hamburg,['Straße'],,Wohnen + Wohnen,"['Fußgänger', 'Autofahrer', 'Radfahrer']",53.45848657979844,9.977929685264826,1582986776.0,217000000.0,NISiXJvou2OIg0ygvLTQni8z6Gm1,272d7d2a-ffcf-4de0-acfe-9fd00be3a795,1579895945,221000000,53.45848657979844,9.977929685264826,nLp6yL09kLYy4XDxIb4kMjer8RX2,1579895945,222000000,NISiXJvou2OIg0ygvLTQni8z6Gm1,removed,53.45848657979844,9.977929685264826,,Bürgerschaftswahl Hamburg
u281zc15xt,Kommunalwahl München 2020,"['Straße', 'Wohnen', 'Straßenbahn ', 'Einkaufen']",,Wohnen + E-Behörden,"['Fußgänger', 'Radfahrer', 'Autofahrer']",48.12624035976998,11.592281889170408,,,GYM0k2tLEic5F6s88sbEzJYKrSC2,2734611f-c902-4aed-a564-71e225d20bcf,1582370236,479000000,,,,1582370236,480000000,GYM0k2tLEic5F6s88sbEzJYKrSC2,active,48.12624035976998,11.592281889170408,,Kommunalwahl München 2020
